Codigo del ambito,Ambito,Codigo de Area(ISO3),Area,Codigo del elemento,Elemento,Codigo del producto,Producto,Codigo del year,Year,Unidad,Valor,Simbolo,Descripcion del Simbolo
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6978"",""Áreas de vegetación natural dispersa"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6979"",""Tierras desérticas"",""2020"",""2020"",""1000 ha"",""215.32"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6979"",""Tierras desérticas"",""2021"",""2021"",""1000 ha"",""46.87"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6980"",""Nieve permanente y glaciares"",""2020"",""2020"",""1000 ha"",""0.27"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6980"",""Nieve permanente y glaciares"",""2021"",""2021"",""1000 ha"",""0.35"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6981"",""Cuerpos de aguas interiores"",""2020"",""2020"",""1000 ha"",""508.47"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6981"",""Cuerpos de aguas interiores"",""2021"",""2021"",""1000 ha"",""520.49"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6982"",""Cuerpos de agua costera y zonas intermareales"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""DEU"",""Alemania"",""5013"",""Area from WorldCover"",""6982"",""Cuerpos de agua costera y zonas intermareales"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6970"",""Superficies artificiales (incluidas las zonas urbanas y conexas)"",""2020"",""2020"",""1000 ha"",""0.68"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6970"",""Superficies artificiales (incluidas las zonas urbanas y conexas)"",""2021"",""2021"",""1000 ha"",""0.78"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2020"",""2020"",""1000 ha"",""0.08"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2021"",""2021"",""1000 ha"",""0.01"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2020"",""2020"",""1000 ha"",""23.38"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2021"",""2021"",""1000 ha"",""20.05"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2020"",""2020"",""1000 ha"",""19.98"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2021"",""2021"",""1000 ha"",""21.78"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AND"",""Andorra"",""5013"",""Area from WorldCover"",""6975"",""Manglares"",""2020"",""2020"",""1000 ha"",""0"",""E"",""Valor estimado"""
